input_shape_1,input_shape_2,input_shape_3,input_shape_4,bfloat8,bfloat16,INPUTBUFFER0,INPUTBUFFER1,kernel_duration
224,1504,0,0,0,1,0,1,12871
224,1504,0,0,0,1,0,1,12622
224,1504,0,0,0,1,0,1,12712
224,1504,0,0,1,0,1,0,12733
224,1504,0,0,1,0,1,0,12775
224,1504,0,0,1,0,1,0,12578
224,1504,0,0,1,0,1,0,12578
224,1504,0,0,1,0,0,1,12683
224,1504,0,0,1,0,0,1,12537
224,1504,0,0,1,0,0,1,12413
224,1504,0,0,1,0,0,1,12397
160,1856,0,0,0,1,1,0,12198
160,1856,0,0,0,1,1,0,12111
160,1856,0,0,0,1,1,0,11967
160,1856,0,0,0,1,1,0,11949
160,1856,0,0,0,1,0,1,11150
160,1856,0,0,0,1,0,1,11123
160,1856,0,0,0,1,0,1,10810
160,1856,0,0,0,1,0,1,10814
160,1856,0,0,1,0,1,0,11037
160,1856,0,0,1,0,1,0,11046
160,1856,0,0,1,0,1,0,10856
160,1856,0,0,1,0,1,0,10878
160,1856,0,0,1,0,0,1,10819
160,1856,0,0,1,0,0,1,10715
160,1856,0,0,1,0,0,1,10557
160,1856,0,0,1,0,0,1,10527
1760,1408,0,0,0,1,1,0,72195
1760,1408,0,0,0,1,1,0,72251
1760,1408,0,0,0,1,1,0,71523
1760,1408,0,0,0,1,1,0,71625
1760,1408,0,0,0,1,0,1,71689
1760,1408,0,0,0,1,0,1,71793
1760,1408,0,0,0,1,0,1,71135
1760,1408,0,0,0,1,0,1,71087
1760,1408,0,0,1,0,1,0,71044
1760,1408,0,0,1,0,1,0,71055
1760,1408,0,0,1,0,1,0,70706
1760,1408,0,0,1,0,1,0,70658
1760,1408,0,0,1,0,0,1,70906
1760,1408,0,0,1,0,0,1,70852
1760,1408,0,0,1,0,0,1,70559
1760,1408,0,0,1,0,0,1,70535
704,992,0,0,0,1,1,0,22347
704,992,0,0,0,1,1,0,22329
704,992,0,0,0,1,1,0,22230
704,992,0,0,0,1,1,0,22022
704,992,0,0,0,1,0,1,22196
704,992,0,0,0,1,0,1,22091
704,992,0,0,0,1,0,1,22123
704,992,0,0,0,1,0,1,22031
704,992,0,0,1,0,1,0,21892
704,992,0,0,1,0,1,0,21780
704,992,0,0,1,0,1,0,21590
704,992,0,0,1,0,1,0,21612
704,992,0,0,1,0,0,1,21824
704,992,0,0,1,0,0,1,21763
704,992,0,0,1,0,0,1,21526
704,992,0,0,1,0,0,1,21504
1152,224,0,0,0,1,1,0,11632
1152,224,0,0,0,1,1,0,11498
1152,224,0,0,0,1,1,0,10547
1152,224,0,0,0,1,1,0,10562
1152,224,0,0,0,1,0,1,11160
1152,224,0,0,0,1,0,1,10911
1152,224,0,0,0,1,0,1,9249
1152,224,0,0,0,1,0,1,9258
1152,224,0,0,1,0,1,0,9861
1152,224,0,0,1,0,1,0,10182
1152,224,0,0,1,0,1,0,9448
1152,224,0,0,1,0,1,0,9458
1152,224,0,0,1,0,0,1,9697
1152,224,0,0,1,0,0,1,9640
1152,224,0,0,1,0,0,1,8753
1152,224,0,0,1,0,0,1,8777
736,896,0,0,0,1,1,0,22395
736,896,0,0,0,1,1,0,22403
736,896,0,0,0,1,1,0,22348
736,896,0,0,0,1,1,0,22281
736,896,0,0,0,1,0,1,21969
736,896,0,0,0,1,0,1,21915
736,896,0,0,0,1,0,1,21880
736,896,0,0,0,1,0,1,21839
736,896,0,0,1,0,1,0,21735
736,896,0,0,1,0,1,0,21822
736,896,0,0,1,0,1,0,21658
736,896,0,0,1,0,1,0,21635
736,896,0,0,1,0,0,1,21746
736,896,0,0,1,0,0,1,21571
736,896,0,0,1,0,0,1,21478
736,896,0,0,1,0,0,1,21495
672,1280,0,0,0,1,1,0,27679
672,1280,0,0,0,1,1,0,27622
672,1280,0,0,0,1,1,0,27449
672,1280,0,0,0,1,1,0,27586
672,1280,0,0,0,1,0,1,27357
672,1280,0,0,0,1,0,1,27371
672,1280,0,0,0,1,0,1,27268
672,1280,0,0,0,1,0,1,27334
672,1280,0,0,1,0,1,0,27301
672,1280,0,0,1,0,1,0,27216
672,1280,0,0,1,0,1,0,27110
672,1280,0,0,1,0,1,0,27113
672,1280,0,0,1,0,0,1,27062
672,1280,0,0,1,0,0,1,27054
672,1280,0,0,1,0,0,1,26916
672,1280,0,0,1,0,0,1,26945
1312,1888,0,0,0,1,1,0,71922
1312,1888,0,0,0,1,1,0,71986
1312,1888,0,0,0,1,1,0,71481
1312,1888,0,0,0,1,1,0,71506
1312,1888,0,0,0,1,0,1,71857
1312,1888,0,0,0,1,0,1,71739
1312,1888,0,0,0,1,0,1,71171
1312,1888,0,0,0,1,0,1,71118
1312,1888,0,0,1,0,1,0,71062
1312,1888,0,0,1,0,1,0,70943
1312,1888,0,0,1,0,1,0,70814
1312,1888,0,0,1,0,1,0,70771
1312,1888,0,0,1,0,0,1,70784
1312,1888,0,0,1,0,0,1,70708
1312,1888,0,0,1,0,0,1,70549
